anime,anime_url,anime_img,episodes,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller
Naruto Shippuuden,https://www.crunchyroll.com/naruto-shippuden,https://img1.ak.crunchyroll.com/i/spire4/1c1df98707aa0f22aa54342af725e48a1491245343_full.jpg,500,48518,233346,4.81,1111,275,817,2341,43974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shugo Chara,https://www.crunchyroll.com/shugo-chara,https://img1.ak.crunchyroll.com/i/spire1/7c0c0cd3958894b2dafc740ba847e4f11279141777_full.jpg,51,33688,163641,4.86,503,104,438,1599,31044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLEACH,https://www.crunchyroll.com/bleach,https://img1.ak.crunchyroll.com/i/spire2/52edb7a843abacb4ff0f642c8eda14401325114125_full.jpg,366,23900,115445,4.83,391,98,370,1457,21584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naruto,https://www.crunchyroll.com/naruto,https://img1.ak.crunchyroll.com/i/spire2/0145388e3ecfdb5a63ce1e9feaeef44a1279141923_full.jpg,220,16613,79667,4.8,456,64,282,818,14993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skip Beat!,https://www.crunchyroll.com/skip-beat,https://img1.ak.crunchyroll.com/i/spire3/4bbe3a679c7365d16dd49c9d78ae992e1279142023_full.jpg,0,15011,73683,4.91,98,20,112,696,14085,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REBORN!,https://www.crunchyroll.com/reborn,https://img1.ak.crunchyroll.com/i/spire1/445d2fd74c924440b1ca61600789e2861383180162_full.jpg,0,12542,61262,4.88,114,47,132,587,11662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gintama,https://www.crunchyroll.com/gintama,https://img1.ak.crunchyroll.com/i/spire2/54c15675670ba44c1f98c3e11ba0cddf1515030877_full.jpg,379,11435,55745,4.87,133,47,124,509,10622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Corda d'Oro ~primo passo~ and ~secondo passo~,https://www.crunchyroll.com/la-corda-doro-primo-passo-and-secondo-passo,https://img1.ak.crunchyroll.com/i/spire2/383071a2c629ff64fb33669a793eac311293594874_full.png,0,9555,46479,4.86,71,26,148,638,8672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eyeshield 21,https://www.crunchyroll.com/eyeshield-21,https://img1.ak.crunchyroll.com/i/spire3/f7adee8b50d73664021c3e4e3042e8101279142732_full.jpg,0,8466,41028,4.85,99,43,115,547,7662,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hayate the Combat Butler! (S1 e S2),https://www.crunchyroll.com/hayate-the-combat-butler-season-1-2,https://img1.ak.crunchyroll.com/i/spire4/8ad9366eab2ceca1a872a26c5b96574f1446849740_full.jpg,77,5689,27576,4.85,47,12,92,461,5077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
